puzzle_id,min_diff,max_diff,avg_diff,num_solutions
4,0,4,2.0,2
20,0,44,24.974358974358974,39
30,0,18,9.0,2
34,0,4,2.0,2
37,0,4,2.0,2
38,0,4,2.0,2
39,0,4,2.0,2
40,0,4,2.0,2
41,0,26,15.163636363636364,165
47,0,14,7.6,5
53,0,36,19.0,8
54,0,16,8.0,4
56,0,8,4.0,2
59,0,8,4.0,2
61,0,8,4.0,2
63,0,12,7.0,8
67,8,38,26.978,1000
69,0,12,8.0,6
70,0,16,8.0,4
75,0,34,19.0,14
76,0,30,15.428571428571429,14
86,0,8,4.0,2
89,0,50,30.95744680851064,94
100,0,28,13.555555555555555,9
102,0,8,4.0,2
113,0,8,4.0,2
117,0,4,2.0,2
122,0,28,14.0,2
123,0,38,23.68,50
124,0,6,3.0,2
127,0,8,4.0,2
134,0,4,2.0,2
139,0,8,4.0,2
140,0,8,4.0,4
141,0,8,4.666666666666667,3
143,0,16,8.0,4
145,0,20,10.0,2
146,0,14,10.222222222222221,9
162,0,8,4.0,2
163,0,18,11.333333333333334,3
168,0,52,36.55555555555556,54
169,0,4,2.0,2
174,0,16,8.181818181818182,11
179,0,30,12.666666666666666,3
186,0,4,2.0,2
187,0,4,2.0,2
190,0,10,5.5,4
198,0,34,22.857142857142858,7
206,0,12,6.0,2
207,0,16,8.0,4
208,0,52,27.748427672955973,477
209,0,28,14.0,2
215,0,4,2.0,2
217,0,4,2.0,2
218,0,36,18.0,4
221,0,16,11.076923076923077,13
225,0,8,4.0,2
229,0,4,2.0,2
230,0,12,5.333333333333333,3
231,0,4,2.0,2
233,0,8,4.0,2
236,0,6,3.3333333333333335,3
243,0,4,2.0,2
245,0,38,15.6,5
248,0,8,4.0,2
261,0,4,2.0,2
262,0,32,25.454545454545453,22
264,0,8,4.0,2
265,0,4,2.0,2
266,0,8,4.0,2
269,0,6,3.0,2
280,0,10,5.0,2
285,0,4,2.0,2
286,0,32,16.794117647058822,68
288,0,20,10.0,2
299,0,6,3.3333333333333335,3
304,0,4,2.0,2
306,0,8,4.0,2
308,0,4,2.0,2
311,0,8,4.0,3
319,0,18,10.0,12
323,0,34,17.448275862068964,29
329,0,8,4.0,2
331,0,32,19.25,16
332,0,8,4.0,2
334,0,24,12.0,2
342,0,4,2.0,2
345,0,32,16.0,2
347,0,4,2.0,2
349,0,4,2.0,2
351,0,4,2.0,2
356,0,30,14.285714285714286,7
364,0,4,2.0,2
367,0,18,9.777777777777779,9
372,0,12,6.0,4
374,0,6,3.0,2
376,0,16,10.0,7
379,0,24,12.0,2
380,0,8,4.0,2
388,0,4,2.0,2
390,0,4,2.0,2
392,0,8,4.0,2
397,0,8,4.0,2
401,0,4,2.0,2
409,0,8,4.0,4
410,0,8,4.0,2
