puzzle_id,json_file_path,num_solutions,iteration_used,time_spent,final_hamming_distance,success,refined_img_path,refined_json_path
100,./mnist_nonograms\mnist_puzzle_100.json,9,24,7.820225238800049,3,True,./classic_stimulated_defined_Images\puzzle_100_comparison.png,./classic_stimulated_defined_JSONs\puzzle_100_refined.json
1001,./mnist_nonograms\mnist_puzzle_1001.json,1000,100,200.61908411979675,21,False,./classic_stimulated_defined_Images\puzzle_1001_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1001_refined.json
1007,./mnist_nonograms\mnist_puzzle_1007.json,116,44,30.515218496322632,12,True,./classic_stimulated_defined_Images\puzzle_1007_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1007_refined.json
1008,./mnist_nonograms\mnist_puzzle_1008.json,2,100,27.062486171722412,16,False,./classic_stimulated_defined_Images\puzzle_1008_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1008_refined.json
1010,./mnist_nonograms\mnist_puzzle_1010.json,4,63,13.014235734939575,10,True,./classic_stimulated_defined_Images\puzzle_1010_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1010_refined.json
1015,./mnist_nonograms\mnist_puzzle_1015.json,2,6,1.2283058166503906,3,True,./classic_stimulated_defined_Images\puzzle_1015_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1015_refined.json
1017,./mnist_nonograms\mnist_puzzle_1017.json,3,22,7.147349119186401,8,True,./classic_stimulated_defined_Images\puzzle_1017_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1017_refined.json
1018,./mnist_nonograms\mnist_puzzle_1018.json,3,7,1.7879111766815186,2,True,./classic_stimulated_defined_Images\puzzle_1018_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1018_refined.json
102,./mnist_nonograms\mnist_puzzle_102.json,2,9,1.901740312576294,3,True,./classic_stimulated_defined_Images\puzzle_102_comparison.png,./classic_stimulated_defined_JSONs\puzzle_102_refined.json
1023,./mnist_nonograms\mnist_puzzle_1023.json,3,26,9.910196542739868,5,True,./classic_stimulated_defined_Images\puzzle_1023_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1023_refined.json
1024,./mnist_nonograms\mnist_puzzle_1024.json,33,74,22.95213270187378,10,True,./classic_stimulated_defined_Images\puzzle_1024_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1024_refined.json
1025,./mnist_nonograms\mnist_puzzle_1025.json,6,19,3.9339375495910645,3,True,./classic_stimulated_defined_Images\puzzle_1025_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1025_refined.json
1028,./mnist_nonograms\mnist_puzzle_1028.json,2,97,65.04732751846313,25,True,./classic_stimulated_defined_Images\puzzle_1028_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1028_refined.json
1030,./mnist_nonograms\mnist_puzzle_1030.json,2,12,3.8009352684020996,4,True,./classic_stimulated_defined_Images\puzzle_1030_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1030_refined.json
1035,./mnist_nonograms\mnist_puzzle_1035.json,9,49,15.627165794372559,7,True,./classic_stimulated_defined_Images\puzzle_1035_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1035_refined.json
1045,./mnist_nonograms\mnist_puzzle_1045.json,2,93,31.782824754714966,20,True,./classic_stimulated_defined_Images\puzzle_1045_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1045_refined.json
1050,./mnist_nonograms\mnist_puzzle_1050.json,2,36,3.329111337661743,8,True,./classic_stimulated_defined_Images\puzzle_1050_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1050_refined.json
1051,./mnist_nonograms\mnist_puzzle_1051.json,318,89,19.683233499526978,12,True,./classic_stimulated_defined_Images\puzzle_1051_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1051_refined.json
1055,./mnist_nonograms\mnist_puzzle_1055.json,2,7,1.394871473312378,2,True,./classic_stimulated_defined_Images\puzzle_1055_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1055_refined.json
1057,./mnist_nonograms\mnist_puzzle_1057.json,2,9,4.312070369720459,2,True,./classic_stimulated_defined_Images\puzzle_1057_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1057_refined.json
1069,./mnist_nonograms\mnist_puzzle_1069.json,2,100,60.69363451004028,34,False,./classic_stimulated_defined_Images\puzzle_1069_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1069_refined.json
1078,./mnist_nonograms\mnist_puzzle_1078.json,2,4,1.5451059341430664,2,True,./classic_stimulated_defined_Images\puzzle_1078_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1078_refined.json
1080,./mnist_nonograms\mnist_puzzle_1080.json,2,24,11.93450140953064,10,True,./classic_stimulated_defined_Images\puzzle_1080_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1080_refined.json
1083,./mnist_nonograms\mnist_puzzle_1083.json,9,43,8.0216543674469,8,True,./classic_stimulated_defined_Images\puzzle_1083_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1083_refined.json
1085,./mnist_nonograms\mnist_puzzle_1085.json,2,42,11.66061544418335,9,True,./classic_stimulated_defined_Images\puzzle_1085_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1085_refined.json
1092,./mnist_nonograms\mnist_puzzle_1092.json,14,51,9.559325218200684,6,True,./classic_stimulated_defined_Images\puzzle_1092_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1092_refined.json
1094,./mnist_nonograms\mnist_puzzle_1094.json,2,36,13.71922492980957,6,True,./classic_stimulated_defined_Images\puzzle_1094_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1094_refined.json
1096,./mnist_nonograms\mnist_puzzle_1096.json,2,35,18.038169145584106,13,True,./classic_stimulated_defined_Images\puzzle_1096_comparison.png,./classic_stimulated_defined_JSONs\puzzle_1096_refined.json
