puzzle_id,min_diff,max_diff,avg_diff,num_solutions
2,0,4,2.0,2
7,0,8,4.0,2
10,0,4,2.0,2
11,0,12,6.666666666666667,3
12,0,6,3.3333333333333335,3
13,0,16,8.0,2
18,0,20,12.666666666666666,12
19,0,12,6.0,2
22,0,4,2.0,2
29,0,18,11.333333333333334,3
32,0,12,6.5,4
43,0,20,10.0,2
45,0,8,4.0,2
46,0,4,2.0,2
50,0,20,12.0,50
51,0,8,4.0,2
53,0,8,4.0,2
61,0,28,14.0,4
62,0,6,3.0,2
65,0,16,8.0,2
67,0,24,10.666666666666666,3
68,0,20,10.0,8
71,0,26,14.0,10
79,0,20,10.0,2
80,0,6,3.0,2
87,0,4,2.0,2
89,0,16,8.0,2
92,0,4,2.0,2
95,0,6,3.0,2
99,0,8,4.0,2
103,0,20,10.0,2
117,0,6,3.0,2
124,0,16,8.0,3
136,0,18,8.833333333333334,12
140,0,16,8.0,2
141,0,18,9.5,4
144,0,28,10.133333333333333,15
145,0,22,12.0,12
146,0,4,2.0,2
153,0,4,2.0,2
154,0,6,3.0,2
158,0,8,4.0,2
163,0,8,4.666666666666667,3
167,0,16,8.0,2
175,0,8,4.0,2
178,0,4,2.0,2
188,0,4,2.0,2
191,0,16,8.857142857142858,7
195,0,8,4.0,2
202,0,10,6.0,3
204,0,6,3.0,2
218,0,18,10.0,12
219,0,4,2.0,2
224,0,14,7.0,8
226,0,8,4.0,2
234,0,34,17.0,4
235,0,12,6.0,2
242,0,4,2.0,2
246,0,22,15.066666666666666,30
254,0,26,13.2,5
258,0,12,6.0,2
259,0,32,12.0,3
260,0,32,15.24,50
262,0,8,4.0,4
266,0,28,13.0,8
267,0,4,2.0,2
281,0,8,4.0,2
287,0,12,6.0,2
290,0,36,18.0,2
294,0,8,4.0,2
297,0,4,2.0,2
306,0,4,2.0,2
308,0,4,2.0,2
311,0,8,4.0,2
316,0,6,3.0,2
318,0,20,10.0,2
322,0,18,10.5,8
330,0,6,3.3333333333333335,3
332,0,4,2.0,2
335,0,4,2.0,2
340,0,12,6.8,5
346,0,8,4.0,2
348,0,6,3.0,2
349,0,16,8.0,2
352,0,6,3.0,2
368,0,4,2.0,2
370,0,6,3.3333333333333335,3
379,0,4,2.0,2
386,0,4,2.0,2
388,0,18,10.4,10
390,0,8,4.0,2
394,0,12,6.5,4
396,0,14,8.0,12
397,0,56,28.0,2
401,0,4,2.0,2
404,0,4,2.0,2
409,0,8,4.5,4
418,32,44,39.44,50
420,0,18,8.666666666666666,3
425,0,12,7.0,4
428,0,4,2.0,2
432,0,10,5.333333333333333,6
434,0,10,6.0,6
435,0,24,12.0,2
436,0,4,2.0,2
437,0,12,5.333333333333333,3
438,0,8,4.0,2
442,0,4,2.0,2
443,0,64,32.0,2
455,0,8,4.0,2
456,0,4,2.0,2
461,0,4,2.0,2
463,0,8,4.0,2
466,0,12,6.0,2
468,0,8,4.0,2
471,0,6,3.0,2
472,0,20,11.5,12
476,0,4,2.0,2
477,0,4,2.0,2
481,0,28,14.0,4
483,0,4,2.0,2
485,0,24,13.714285714285714,14
487,0,24,14.666666666666666,18
491,0,64,32.0,2
496,0,4,2.0,2
498,0,34,21.441860465116278,43
500,0,4,2.0,2
504,0,4,2.0,2
517,0,12,6.0,4
523,0,16,8.0,4
530,0,22,16.571428571428573,7
533,0,60,30.0,2
540,0,24,17.0,4
541,0,8,4.0,2
543,0,20,12.4,5
553,0,6,3.0,2
558,0,12,8.0,5
559,0,36,22.857142857142858,7
562,0,28,15.0,4
563,0,4,2.0,2
567,0,36,18.0,2
574,0,12,6.0,2
575,0,12,6.0,4
579,0,8,4.0,2
583,0,18,11.333333333333334,3
584,0,8,4.0,4
586,0,34,15.52,50
590,0,4,2.0,2
593,0,60,30.0,2
594,0,4,2.0,2
595,0,20,14.7,40
599,0,12,6.5,4
601,0,70,51.0,8
602,0,4,2.0,2
605,0,54,44.31578947368421,19
613,0,8,4.0,2
615,0,8,4.0,2
621,0,30,16.0,8
627,0,18,12.36,50
628,0,4,2.0,2
636,0,26,14.0,6
638,0,8,4.0,2
640,0,12,6.0,2
647,30,46,38.32,50
651,0,44,22.0,2
660,0,8,4.0,2
661,0,44,23.272727272727273,11
663,0,10,6.0,4
664,0,4,2.0,2
674,0,18,8.666666666666666,12
679,0,4,2.0,2
680,0,8,4.0,2
688,0,4,2.0,2
695,0,8,4.0,2
696,0,30,16.4,35
700,0,26,15.909090909090908,44
704,0,8,4.0,2
706,0,8,4.0,2
708,0,4,2.0,2
715,0,8,4.0,2
728,0,8,4.0,2
736,0,36,18.36,50
740,0,8,4.0,2
742,0,8,4.0,3
744,0,18,11.125,16
760,0,12,7.0,4
762,0,16,8.0,6
770,28,38,32.96,50
773,0,4,2.0,2
775,0,8,4.0,2
777,0,4,2.0,2
778,0,12,7.0,12
780,0,4,2.0,2
782,0,4,2.0,2
786,0,4,2.0,2
796,0,52,22.72,50
808,0,8,4.0,2
818,0,26,11.0,8
822,0,12,6.0,2
825,0,6,3.0,2
828,0,16,7.5,4
835,0,52,26.0,2
844,0,12,6.0,4
845,0,4,2.0,2
846,0,4,2.0,2
848,0,4,2.0,2
850,0,18,8.666666666666666,6
858,0,12,6.0,4
